puan,min,max
115,140657,140657
116,140657,140656
117,140657,140656
118,140657,140656
119,140657,140656
120,140657,140656
121,140657,140656
122,140656,140656
123,140656,140655
124,140656,140655
125,140656,140655
126,140656,140655
127,140656,140655
128,140656,140655
129,140656,140655
130,140647,140655
131,140638,140646
132,140629,140637
133,140620,140628
134,140611,140619
135,140602,140610
136,140594,140601
137,140585,140593
138,140576,140584
139,140567,140575
140,140558,140566
141,140549,140557
142,140540,140548
143,140532,140539
144,140523,140531
145,140514,140522
146,140505,140513
147,140496,140504
148,140487,140495
149,140479,140486
150,140383,140478
151,140287,140382
152,140191,140286
153,140095,140190
154,139999,140094
155,139903,139998
156,139807,139902
157,139711,139806
158,139615,139710
159,139519,139614
160,139423,139518
161,139327,139422
162,139231,139326
163,139135,139230
164,139039,139134
165,138943,139038
166,138847,138942
167,138751,138846
168,138655,138750
169,138559,138654
170,138244,138558
171,137930,138243
172,137616,137929
173,137301,137615
174,136987,137300
175,136673,136986
176,136358,136672
177,136044,136357
178,135730,136043
179,135416,135729
180,135101,135415
181,134787,135100
182,134473,134786
183,134158,134472
184,133844,134157
185,133530,133843
186,133215,133529
187,132901,133214
188,132587,132900
189,132273,132586
190,131706,132272
191,131139,131705
192,130572,131138
193,130006,130571
194,129439,130005
195,128872,129438
196,128305,128871
197,127739,128304
198,127172,127738
199,126605,127171
200,126038,126604
201,125472,126037
202,124905,125471
203,124338,124904
204,123771,124337
205,123205,123770
206,122638,123204
207,122071,122637
208,121504,122070
209,120938,121503
210,120257,120937
211,119576,120256
212,118895,119575
213,118214,118894
214,117533,118213
215,116852,117532
216,116171,116851
217,115490,116170
218,114809,115489
219,114128,114808
220,113447,114127
221,112766,113446
222,112085,112765
223,111404,112084
224,110723,111403
225,110042,110722
226,109361,110041
227,108680,109360
228,107999,108679
229,107319,107998
230,106689,107318
231,106060,106688
232,105431,106059
233,104802,105430
234,104173,104801
235,103544,104172
236,102915,103543
237,102286,102914
238,101657,102285
239,101028,101656
240,100398,101027
241,99769,100397
242,99140,99768
243,98511,99139
244,97882,98510
245,97253,97881
246,96624,97252
247,95995,96623
248,95366,95994
249,94737,95365
250,94158,94736
251,93579,94157
252,93000,93578
253,92422,92999
254,91843,92421
255,91264,91842
256,90686,91263
257,90107,90685
258,89528,90106
259,88950,89527
260,88371,88949
261,87792,88370
262,87213,87791
263,86635,87212
264,86056,86634
265,85477,86055
266,84899,85476
267,84320,84898
268,83741,84319
269,83163,83740
270,82621,83162
271,82080,82620
272,81539,82079
273,80998,81538
274,80456,80997
275,79915,80455
276,79374,79914
277,78833,79373
278,78291,78832
279,77750,78290
280,77209,77749
281,76668,77208
282,76126,76667
283,75585,76125
284,75044,75584
285,74503,75043
286,73961,74502
287,73420,73960
288,72879,73419
289,72338,72878
290,71831,72337
291,71325,71830
292,70818,71324
293,70312,70817
294,69806,70311
295,69299,69805
296,68793,69298
297,68287,68792
298,67780,68286
299,67274,67779
300,66768,67273
301,66261,66767
302,65755,66260
303,65249,65754
304,64742,65248
305,64236,64741
306,63730,64235
307,63223,63729
308,62717,63222
309,62211,62716
310,61721,62210
311,61231,61720
312,60741,61230
313,60251,60740
314,59762,60250
315,59272,59761
316,58782,59271
317,58292,58781
318,57802,58291
319,57313,57801
320,56823,57312
321,56333,56822
322,55843,56332
323,55353,55842
324,54864,55352
325,54374,54863
326,53884,54373
327,53394,53883
328,52904,53393
329,52415,52903
330,51951,52414
331,51488,51950
332,51025,51487
333,50562,51024
334,50099,50561
335,49636,50098
336,49172,49635
337,48709,49171
338,48246,48708
339,47783,48245
340,47320,47782
341,46857,47319
342,46394,46856
343,45930,46393
344,45467,45929
345,45004,45466
346,44541,45003
347,44078,44540
348,43615,44077
349,43152,43614
350,42701,43151
351,42251,42700
352,41801,42250
353,41351,41800
354,40901,41350
355,40451,40900
356,40000,40450
357,39550,39999
358,39100,39549
359,38650,39099
360,38200,38649
361,37750,38199
362,37300,37749
363,36849,37299
364,36399,36848
365,35949,36398
366,35499,35948
367,35049,35498
368,34599,35048
369,34149,34598
370,33727,34148
371,33305,33726
372,32883,33304
373,32461,32882
374,32039,32460
375,31617,32038
376,31196,31616
377,30774,31195
378,30352,30773
379,29930,30351
380,29508,29929
381,29086,29507
382,28664,29085
383,28243,28663
384,27821,28242
385,27399,27820
386,26977,27398
387,26555,26976
388,26133,26554
389,25712,26132
390,25317,25711
391,24923,25316
392,24529,24922
393,24135,24528
394,23741,24134
395,23347,23740
396,22953,23346
397,22559,22952
398,22165,22558
399,21771,22164
400,21377,21770
401,20983,21376
402,20589,20982
403,20195,20588
404,19801,20194
405,19407,19800
406,19013,19406
407,18619,19012
408,18225,18618
409,17831,18224
410,17502,17830
411,17174,17501
412,16846,17173
413,16518,16845
414,16190,16517
415,15862,16189
416,15533,15861
417,15205,15532
418,14877,15204
419,14549,14876
420,14221,14548
421,13893,14220
422,13565,13892
423,13236,13564
424,12908,13235
425,12580,12907
426,12252,12579
427,11924,12251
428,11596,11923
429,11268,11595
430,11031,11267
431,10795,11030
432,10559,10794
433,10323,10558
434,10087,10322
435,9850,10086
436,9614,9849
437,9378,9613
438,9142,9377
439,8906,9141
440,8669,8905
441,8433,8668
442,8197,8432
443,7961,8196
444,7725,7960
445,7488,7724
446,7252,7487
447,7016,7251
448,6780,7015
449,6544,6779
450,6392,6543
451,6241,6391
452,6089,6240
453,5938,6088
454,5786,5937
455,5635,5785
456,5483,5634
457,5332,5482
458,5180,5331
459,5029,5179
460,4878,5028
461,4726,4877
462,4575,4725
463,4423,4574
464,4272,4422
465,4120,4271
466,3969,4119
467,3817,3968
468,3666,3816
469,3515,3665
470,3419,3514
471,3324,3418
472,3228,3323
473,3133,3227
474,3038,3132
475,2942,3037
476,2847,2941
477,2751,2846
478,2656,2750
479,2561,2655
480,2465,2560
481,2370,2464
482,2274,2369
483,2179,2273
484,2084,2178
485,1988,2083
486,1893,1987
487,1797,1892
488,1702,1796
489,1607,1701
490,1556,1606
491,1506,1555
492,1455,1505
493,1405,1454
494,1354,1404
495,1304,1353
496,1253,1303
497,1203,1252
498,1152,1202
499,1102,1151
500,1051,1101
501,1001,1050
502,950,1000
