puan,min,max
115,1291532,1291531
116,1291532,1291531
117,1291532,1291531
118,1291532,1291531
119,1291532,1291531
120,1291532,1291531
121,1291532,1291531
122,1291532,1291531
123,1291532,1291531
124,1291532,1291531
125,1291532,1291531
126,1291532,1291531
127,1291532,1291531
128,1291532,1291531
129,1291532,1291531
130,1291530,1291531
131,1291528,1291529
132,1291526,1291527
133,1291524,1291525
134,1291522,1291523
135,1291520,1291521
136,1291518,1291519
137,1291516,1291517
138,1291514,1291515
139,1291512,1291513
140,1291510,1291511
141,1291508,1291509
142,1291506,1291507
143,1291504,1291505
144,1291502,1291503
145,1291500,1291501
146,1291498,1291499
147,1291496,1291497
148,1291494,1291495
149,1291492,1291493
150,1291314,1291491
151,1291136,1291313
152,1290958,1291135
153,1290780,1290957
154,1290602,1290779
155,1290424,1290601
156,1290246,1290423
157,1290068,1290245
158,1289890,1290067
159,1289712,1289889
160,1289534,1289711
161,1289356,1289533
162,1289178,1289355
163,1289000,1289177
164,1288822,1288999
165,1288644,1288821
166,1288466,1288643
167,1288288,1288465
168,1288110,1288287
169,1287933,1288109
170,1284943,1287932
171,1281953,1284942
172,1278964,1281952
173,1275974,1278963
174,1272985,1275973
175,1269995,1272984
176,1267006,1269994
177,1264016,1267005
178,1261027,1264015
179,1258037,1261026
180,1255047,1258036
181,1252058,1255046
182,1249068,1252057
183,1246079,1249067
184,1243089,1246078
185,1240100,1243088
186,1237110,1240099
187,1234121,1237109
188,1231131,1234120
189,1228142,1231130
190,1219374,1228141
191,1210606,1219373
192,1201838,1210605
193,1193070,1201837
194,1184302,1193069
195,1175534,1184301
196,1166766,1175533
197,1157998,1166765
198,1149230,1157997
199,1140463,1149229
200,1131695,1140462
201,1122927,1131694
202,1114159,1122926
203,1105391,1114158
204,1096623,1105390
205,1087855,1096622
206,1079087,1087854
207,1070319,1079086
208,1061551,1070318
209,1052784,1061550
210,1040704,1052783
211,1028625,1040703
212,1016546,1028624
213,1004467,1016545
214,992388,1004466
215,980309,992387
216,968230,980308
217,956151,968229
218,944072,956150
219,931993,944071
220,919913,931992
221,907834,919912
222,895755,907833
223,883676,895754
224,871597,883675
225,859518,871596
226,847439,859517
227,835360,847438
228,823281,835359
229,811202,823280
230,800473,811201
231,789745,800472
232,779017,789744
233,768288,779016
234,757560,768287
235,746832,757559
236,736103,746831
237,725375,736102
238,714647,725374
239,703919,714646
240,693190,703918
241,682462,693189
242,671734,682461
243,661005,671733
244,650277,661004
245,639549,650276
246,628820,639548
247,618092,628819
248,607364,618091
249,596636,607363
250,589298,596635
251,581960,589297
252,574622,581959
253,567285,574621
254,559947,567284
255,552609,559946
256,545271,552608
257,537934,545270
258,530596,537933
259,523258,530595
260,515920,523257
261,508583,515919
262,501245,508582
263,493907,501244
264,486569,493906
265,479232,486568
266,471894,479231
267,464556,471893
268,457218,464555
269,449881,457217
270,444806,449880
271,439732,444805
272,434658,439731
273,429584,434657
274,424510,429583
275,419436,424509
276,414361,419435
277,409287,414360
278,404213,409286
279,399139,404212
280,394065,399138
281,388991,394064
282,383917,388990
283,378842,383916
284,373768,378841
285,368694,373767
286,363620,368693
287,358546,363619
288,353472,358545
289,348398,353471
290,344690,348397
291,340983,344689
292,337276,340982
293,333569,337275
294,329861,333568
295,326154,329860
296,322447,326153
297,318740,322446
298,315032,318739
299,311325,315031
300,307618,311324
301,303911,307617
302,300203,303910
303,296496,300202
304,292789,296495
305,289082,292788
306,285374,289081
307,281667,285373
308,277960,281666
309,274253,277959
310,271429,274252
311,268605,271428
312,265781,268604
313,262958,265780
314,260134,262957
315,257310,260133
316,254487,257309
317,251663,254486
318,248839,251662
319,246016,248838
320,243192,246015
321,240368,243191
322,237544,240367
323,234721,237543
324,231897,234720
325,229073,231896
326,226250,229072
327,223426,226249
328,220602,223425
329,217779,220601
330,215607,217778
331,213436,215606
332,211265,213435
333,209094,211264
334,206923,209093
335,204752,206922
336,202580,204751
337,200409,202579
338,198238,200408
339,196067,198237
340,193896,196066
341,191725,193895
342,189554,191724
343,187382,189553
344,185211,187381
345,183040,185210
346,180869,183039
347,178698,180868
348,176527,178697
349,174356,176526
350,172619,174355
351,170882,172618
352,169145,170881
353,167408,169144
354,165672,167407
355,163935,165671
356,162198,163934
357,160461,162197
358,158724,160460
359,156988,158723
360,155251,156987
361,153514,155250
362,151777,153513
363,150040,151776
364,148304,150039
365,146567,148303
366,144830,146566
367,143093,144829
368,141356,143092
369,139620,141355
370,138213,139619
371,136807,138212
372,135401,136806
373,133995,135400
374,132589,133994
375,131183,132588
376,129777,131182
377,128371,129776
378,126965,128370
379,125559,126964
380,124153,125558
381,122747,124152
382,121341,122746
383,119935,121340
384,118529,119934
385,117123,118528
386,115717,117122
387,114311,115716
388,112905,114310
389,111499,112904
390,110279,111498
391,109060,110278
392,107841,109059
393,106622,107840
394,105403,106621
395,104184,105402
396,102965,104183
397,101746,102964
398,100527,101745
399,99308,100526
400,98089,99307
401,96870,98088
402,95651,96869
403,94432,95650
404,93213,94431
405,91994,93212
406,90775,91993
407,89556,90774
408,88337,89555
409,87118,88336
410,86034,87117
411,84951,86033
412,83867,84950
413,82784,83866
414,81701,82783
415,80617,81700
416,79534,80616
417,78450,79533
418,77367,78449
419,76284,77366
420,75200,76283
421,74117,75199
422,73033,74116
423,71950,73032
424,70867,71949
425,69783,70866
426,68700,69782
427,67616,68699
428,66533,67615
429,65450,66532
430,64484,65449
431,63519,64483
432,62553,63518
433,61588,62552
434,60623,61587
435,59657,60622
436,58692,59656
437,57727,58691
438,56761,57726
439,55796,56760
440,54831,55795
441,53865,54830
442,52900,53864
443,51935,52899
444,50969,51934
445,50004,50968
446,49039,50003
447,48073,49038
448,47108,48072
449,46143,47107
450,45306,46142
451,44469,45305
452,43633,44468
453,42796,43632
454,41960,42795
455,41123,41959
456,40286,41122
457,39450,40285
458,38613,39449
459,37777,38612
460,36940,37776
461,36103,36939
462,35267,36102
463,34430,35266
464,33594,34429
465,32757,33593
466,31920,32756
467,31084,31919
468,30247,31083
469,29411,30246
470,28747,29410
471,28084,28746
472,27420,28083
473,26757,27419
474,26093,26756
475,25430,26092
476,24766,25429
477,24103,24765
478,23439,24102
479,22776,23438
480,22112,22775
481,21449,22111
482,20785,21448
483,20122,20784
484,19458,20121
485,18795,19457
486,18131,18794
487,17468,18130
488,16804,17467
489,16141,16803
490,15688,16140
491,15235,15687
492,14782,15234
493,14329,14781
494,13876,14328
495,13423,13875
496,12970,13422
497,12517,12969
498,12064,12516
499,11611,12063
500,11158,11610
501,10705,11157
502,10252,10704
503,9799,10251
504,9346,9798
505,8893,9345
506,8440,8892
507,7987,8439
508,7534,7986
509,7082,7533
510,6824,7081
511,6566,6823
512,6309,6565
513,6051,6308
514,5794,6050
515,5536,5793
516,5279,5535
517,5021,5278
518,4764,5020
519,4506,4763
520,4248,4505
521,3991,4247
522,3733,3990
523,3476,3732
524,3218,3475
525,2961,3217
526,2703,2960
527,2446,2702
528,2188,2445
529,1931,2187
530,1837,1930
531,1743,1836
532,1650,1742
533,1556,1649
534,1462,1555
535,1369,1461
536,1275,1368
537,1181,1274
538,1088,1180
539,994,1087
540,900,993
541,807,899
542,713,806
543,619,712
544,526,618
545,432,525
546,338,431
547,245,337
548,151,244
549,58,150
550,1,57
