puan,min,max
115,1174047,1174047
116,1174047,1174046
117,1174047,1174046
118,1174047,1174046
119,1174047,1174046
120,1174047,1174046
121,1174047,1174046
122,1174047,1174046
123,1174047,1174046
124,1174047,1174046
125,1174047,1174046
126,1174047,1174046
127,1174047,1174046
128,1174047,1174046
129,1174047,1174046
130,1174042,1174046
131,1174037,1174041
132,1174033,1174036
133,1174028,1174032
134,1174024,1174027
135,1174019,1174023
136,1174015,1174018
137,1174010,1174014
138,1174006,1174009
139,1174001,1174005
140,1173996,1174000
141,1173992,1173995
142,1173987,1173991
143,1173983,1173986
144,1173978,1173982
145,1173974,1173977
146,1173969,1173973
147,1173965,1173968
148,1173960,1173964
149,1173956,1173959
150,1173701,1173955
151,1173447,1173700
152,1173192,1173446
153,1172938,1173191
154,1172683,1172937
155,1172429,1172682
156,1172174,1172428
157,1171920,1172173
158,1171665,1171919
159,1171411,1171664
160,1171157,1171410
161,1170902,1171156
162,1170648,1170901
163,1170393,1170647
164,1170139,1170392
165,1169884,1170138
166,1169630,1169883
167,1169375,1169629
168,1169121,1169374
169,1168867,1169120
170,1166520,1168866
171,1164173,1166519
172,1161827,1164172
173,1159480,1161826
174,1157133,1159479
175,1154787,1157132
176,1152440,1154786
177,1150093,1152439
178,1147747,1150092
179,1145400,1147746
180,1143053,1145399
181,1140707,1143052
182,1138360,1140706
183,1136013,1138359
184,1133667,1136012
185,1131320,1133666
186,1128973,1131319
187,1126627,1128972
188,1124280,1126626
189,1121934,1124279
190,1116346,1121933
191,1110758,1116345
192,1105170,1110757
193,1099582,1105169
194,1093994,1099581
195,1088406,1093993
196,1082818,1088405
197,1077230,1082817
198,1071642,1077229
199,1066054,1071641
200,1060466,1066053
201,1054878,1060465
202,1049290,1054877
203,1043702,1049289
204,1038114,1043701
205,1032526,1038113
206,1026938,1032525
207,1021350,1026937
208,1015762,1021349
209,1010175,1015761
210,1002136,1010174
211,994098,1002135
212,986060,994097
213,978022,986059
214,969984,978021
215,961945,969983
216,953907,961944
217,945869,953906
218,937831,945868
219,929793,937830
220,921754,929792
221,913716,921753
222,905678,913715
223,897640,905677
224,889602,897639
225,881563,889601
226,873525,881562
227,865487,873524
228,857449,865486
229,849411,857448
230,839889,849410
231,830367,839888
232,820845,830366
233,811323,820844
234,801801,811322
235,792279,801800
236,782758,792278
237,773236,782757
238,763714,773235
239,754192,763713
240,744670,754191
241,735148,744669
242,725626,735147
243,716105,725625
244,706583,716104
245,697061,706582
246,687539,697060
247,678017,687538
248,668495,678016
249,658974,668494
250,649471,658973
251,639969,649470
252,630467,639968
253,620965,630466
254,611463,620964
255,601961,611462
256,592458,601960
257,582956,592457
258,573454,582955
259,563952,573453
260,554450,563951
261,544948,554449
262,535446,544947
263,525943,535445
264,516441,525942
265,506939,516440
266,497437,506938
267,487935,497436
268,478433,487934
269,468931,478432
270,460962,468930
271,452993,460961
272,445024,452992
273,437055,445023
274,429086,437054
275,421117,429085
276,413148,421116
277,405179,413147
278,397210,405178
279,389241,397209
280,381272,389240
281,373303,381271
282,365334,373302
283,357365,365333
284,349396,357364
285,341427,349395
286,333458,341426
287,325489,333457
288,317520,325488
289,309552,317519
290,303584,309551
291,297617,303583
292,291649,297616
293,285682,291648
294,279715,285681
295,273747,279714
296,267780,273746
297,261812,267779
298,255845,261811
299,249878,255844
300,243910,249877
301,237943,243909
302,231975,237942
303,226008,231974
304,220041,226007
305,214073,220040
306,208106,214072
307,202138,208105
308,196171,202137
309,190204,196170
310,186138,190203
311,182073,186137
312,178007,182072
313,173942,178006
314,169876,173941
315,165811,169875
316,161745,165810
317,157680,161744
318,153614,157679
319,149549,153613
320,145484,149548
321,141418,145483
322,137353,141417
323,133287,137352
324,129222,133286
325,125156,129221
326,121091,125155
327,117025,121090
328,112960,117024
329,108895,112959
330,106342,108894
331,103790,106341
332,101238,103789
333,98685,101237
334,96133,98684
335,93581,96132
336,91028,93580
337,88476,91027
338,85924,88475
339,83372,85923
340,80819,83371
341,78267,80818
342,75715,78266
343,73162,75714
344,70610,73161
345,68058,70609
346,65505,68057
347,62953,65504
348,60401,62952
349,57849,60400
350,56372,57848
351,54896,56371
352,53420,54895
353,51944,53419
354,50467,51943
355,48991,50466
356,47515,48990
357,46039,47514
358,44562,46038
359,43086,44561
360,41610,43085
361,40134,41609
362,38657,40133
363,37181,38656
364,35705,37180
365,34229,35704
366,32752,34228
367,31276,32751
368,29800,31275
369,28324,29799
370,27533,28323
371,26743,27532
372,25953,26742
373,25163,25952
374,24373,25162
375,23583,24372
376,22793,23582
377,22003,22792
378,21213,22002
379,20423,21212
380,19633,20422
381,18843,19632
382,18053,18842
383,17263,18052
384,16473,17262
385,15683,16472
386,14893,15682
387,14103,14892
388,13313,14102
389,12523,13312
390,12148,12522
391,11774,12147
392,11400,11773
393,11025,11399
394,10651,11024
395,10277,10650
396,9902,10276
397,9528,9901
398,9154,9527
399,8780,9153
400,8405,8779
401,8031,8404
402,7657,8030
403,7282,7656
404,6908,7281
405,6534,6907
406,6159,6533
407,5785,6158
408,5411,5784
409,5037,5410
410,4881,5036
411,4726,4880
412,4570,4725
413,4415,4569
414,4259,4414
415,4104,4258
416,3948,4103
417,3793,3947
418,3637,3792
419,3482,3636
420,3326,3481
421,3171,3325
422,3015,3170
423,2860,3014
424,2704,2859
425,2549,2703
426,2393,2548
427,2238,2392
428,2082,2237
429,1927,2081
430,1866,1926
431,1806,1865
432,1746,1805
433,1686,1745
434,1625,1685
435,1565,1624
436,1505,1564
437,1445,1504
438,1384,1444
439,1324,1383
440,1264,1323
441,1204,1263
442,1143,1203
443,1083,1142
444,1023,1082
445,963,1022
446,902,962
447,842,901
448,782,841
449,722,781
450,698,721
451,675,697
452,651,674
453,628,650
454,605,627
455,581,604
456,558,580
457,535,557
458,511,534
459,488,510
460,465,487
461,441,464
462,418,440
463,395,417
464,371,394
465,348,370
466,325,347
467,301,324
468,278,300
469,255,277
470,246,254
471,237,245
472,228,236
473,219,227
474,210,218
475,201,209
476,193,200
477,184,192
478,175,183
479,166,174
480,157,165
481,148,156
482,139,147
483,131,138
484,122,130
485,113,121
486,104,112
487,95,103
488,86,94
489,78,85
490,75,77
491,72,74
492,70,71
493,67,69
494,65,66
495,62,64
496,60,61
497,57,59
498,55,56
499,52,54
500,49,51
501,47,48
502,44,46
503,42,43
504,39,41
505,37,38
506,34,36
507,32,33
508,29,31
509,27,28
510,26,26
511,25,25
512,24,24
513,23,23
514,22,22
515,21,21
516,20,20
517,19,19
518,18,18
519,17,17
520,16,16
521,15,15
522,14,14
523,13,13
524,12,12
525,11,11
526,10,10
527,9,9
528,8,8
529,8,7
530,7,7
531,7,6
532,7,6
533,6,6
534,6,5
535,6,5
536,5,5
537,5,4
538,5,4
539,5,4
540,4,4
541,4,3
542,4,3
543,3,3
544,3,2
545,3,2
546,2,2
547,2,1
548,2,1
549,2,1
550,1,1
